1,0.8,7,48,132
2,0.8,7,48,132
1,0.99,4,365,76
1,0.8,4,398,76
1,0.99,4,361,76
1,0.8,4,424,76
2,0.99,4,1007,112
2,0.8,4,1194,112
3,0.99,4,951,112
3,0.8,4,1174,112
5,0.99,4,1643,140
1,0.99,4,149,76
1,0.95,4,248,76
1,0.9,4,309,76
1,0.8,4,275,76
1,0.8,4,315,76
2,0.8,4,839,112
3,0.8,4,803,112
5,0.8,4,1135,140
6,0.8,4,1428,140
1,0.8,4,317,76
2,0.8,4,1000,112
3,0.8,4,842,112
5,0.8,4,1119,140
6,0.8,4,1336,140
1,0.99,4,149,76
1,0.95,4,272,76
1,0.9,4,283,76
2,0.99,4,535,112
2,0.95,4,667,112
2,0.9,4,747,112
3,0.99,4,591,112
3,0.95,4,787,112
3,0.9,4,819,112
5,0.99,4,563,140
5,0.95,4,855,140
5,0.9,4,904,140
6,0.99,4,793,140
6,0.95,4,1035,140
6,0.9,4,1126,140
1,0.99,4,148,76
1,0.95,4,233,76
1,0.9,4,304,76
2,0.99,4,556,112
2,0.95,4,699,112
2,0.9,4,916,112
3,0.99,4,529,112
3,0.95,4,715,112
3,0.9,4,762,112
5,0.99,4,596,140
5,0.95,4,918,140
5,0.9,4,1035,140
6,0.99,4,809,140
6,0.95,4,942,140
6,0.9,4,1098,140
1,0.99,4,48,76
1,0.95,4,48,76
1,0.9,4,48,76
2,0.99,4,48,112
2,0.95,4,48,112
2,0.9,4,48,112
3,0.99,4,48,112
3,0.95,4,48,112
3,0.9,4,48,112
5,0.99,4,48,140
5,0.95,4,48,140
5,0.9,4,48,140
6,0.99,4,48,140
6,0.95,4,48,140
6,0.9,4,48,140
1,0.99,4,48,76
1,0.95,4,48,76
1,0.9,4,48,76
2,0.99,4,48,112
2,0.95,4,48,112
2,0.9,4,48,112
3,0.99,4,48,112
3,0.95,4,48,112
3,0.9,4,48,112
5,0.99,4,48,140
5,0.95,4,48,140
5,0.9,4,48,140
6,0.99,4,48,140
6,0.95,4,48,140
6,0.9,4,48,140
1,0.8,4,48,76
2,0.8,4,48,112
3,0.8,4,48,112
5,0.8,4,48,140
6,0.8,4,48,140
1,0.8,4,48,76
2,0.8,4,48,112
3,0.8,4,48,112
5,0.8,4,48,140
6,0.8,4,48,140
1,0.99,4,149,76
1,0.95,4,248,76
1,0.9,4,242,76
1,0.8,4,362,76
2,0.99,4,649,112
2,0.95,4,764,112
2,0.9,4,906,112
2,0.8,4,954,112
3,0.99,4,615,112
3,0.95,4,816,112
3,0.9,4,855,112
3,0.8,4,1017,112
5,0.99,4,651,140
5,0.95,4,884,140
5,0.9,4,1164,140
5,0.8,4,1225,140
6,0.99,4,738,140
6,0.95,4,809,140
6,0.9,4,1049,140
6,0.8,4,1503,140
1,0.99,4,152,76
1,0.95,4,234,76
1,0.9,4,327,76
1,0.8,4,377,76
2,0.99,4,608,112
2,0.95,4,718,112
2,0.9,4,1055,112
2,0.8,4,857,112
3,0.99,4,576,112
3,0.95,4,709,112
1,0.99,4,48,76
1,0.95,4,48,76
1,0.9,4,48,76
1,0.8,4,48,76
2,0.99,4,48,112
2,0.95,4,48,112
2,0.9,4,48,112
2,0.8,4,48,112
3,0.99,4,48,112
3,0.95,4,48,112
3,0.9,4,48,112
3,0.8,4,48,112
5,0.99,4,48,140
5,0.95,4,48,140
5,0.9,4,48,140
5,0.8,4,48,140
6,0.99,4,48,140
6,0.95,4,48,140
6,0.9,4,48,140
6,0.8,4,48,140
1,0.99,4,48,76
1,0.95,4,48,76
1,0.9,4,48,76
1,0.8,4,48,76
2,0.9,4,393,112
3,0.9,4,386,112
1,0.99,4,140,76
1,0.95,4,166,76
1,0.9,4,122,76
1,0.8,4,134,76
2,0.99,4,375,112
2,0.95,4,401,112
2,0.9,4,407,112
2,0.8,4,281,112
3,0.99,4,405,112
3,0.95,4,397,112
3,0.9,4,401,112
3,0.8,4,234,112
5,0.99,4,483,140
5,0.95,4,390,140
5,0.9,4,290,140
5,0.8,4,309,140
6,0.99,4,440,140
6,0.95,4,423,140
6,0.9,4,295,140
6,0.8,4,339,140
6,0.9,4,397,140
6,0.8,4,309,140
7,0.99,4,270,88
7,0.95,4,236,88
7,0.9,4,234,88
7,0.8,4,206,88
8,0.99,4,212,84
1,0.99,1,60,55
1,0.95,1,68,55
1,0.9,1,73,55
1,0.8,1,77,55
2,0.99,1,138,64
2,0.95,1,130,64
2,0.9,1,141,64
2,0.8,1,89,64
3,0.99,1,154,64
3,0.95,1,141,64
3,0.9,1,123,64
3,0.8,1,80,64
1,0.99,1,61,55
1,0.95,1,88,55
1,0.9,1,82,55
1,0.8,1,61,55
2,0.99,1,115,64
2,0.95,1,112,64
2,0.9,1,101,64
2,0.8,1,69,64
3,0.99,1,109,64
3,0.95,1,135,64
3,0.9,1,147,64
3,0.8,1,80,64
1,0.99,1,152,55
1,0.99,1,152,55
1,0.99,1,167,55
1,0.99,1,167,55
1,0.99,1,167,55
1,0.95,1,229,55
1,0.9,1,200,55
1,0.8,1,196,55
2,0.99,1,605,64
2,0.95,1,501,64
2,0.9,1,507,64
2,0.8,1,211,64
3,0.99,1,540,64
3,0.95,1,480,64
1,0.99,1,167,55
1,0.8,1,152,55
1,0.8,1,152,55
1,0.8,1,152,55
1,0.99,1,167,55
1,0.95,1,229,55
1,0.9,1,200,55
1,0.8,1,189,55
2,0.99,1,523,64
1,0.99,1,167,55
1,0.95,1,229,55
1,0.9,1,200,55
1,0.99,1,167,55
1,0.99,1,167,55
1,0.99,1,167,55
1,0.8,1,170,55
2,0.99,1,562,64
2,0.99,1,574,64
2,0.99,1,574,64
5,0.99,1,594,71
5,0.99,1,605,71
5,0.99,1,167,71
5,0.8,1,124,71
1,0.99,1,72,55
1,0.8,1,64,55
1,0.99,1,48,55
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
2,0.8,1,48,64
1,0.99,1,48,55
1,0.8,1,48,55
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
2,0.8,1,48,64
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
2,0.8,1,48,64
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
2,0.8,1,48,64
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
2,0.8,1,48,64
1,0.99,1,48,55
1,0.8,1,48,55
2,0.99,1,48,64
1,0.99,1,72,55
1,0.8,1,64,55
2,0.99,1,148,64
2,0.8,1,81,64
1,0.99,1,65,55
1,0.8,1,79,55
2,0.99,1,144,64
2,0.8,1,63,64
1,0.99,1,72,55
1,0.8,1,64,55
2,0.99,1,148,64
1,0.99,4,571,76
1,0.99,4,48,76
1,0.8,4,48,76
2,0.99,4,48,112
2,0.8,4,48,112
3,0.99,4,48,112
3,0.8,4,48,112
5,0.99,4,48,140
5,0.8,4,48,140
